evenL evenC oddC evenM oddM magL bigC litterC bigM litterM oe bl
15 0 1 4 4 12 0 3 5 3 1 1
14 1 0 4 4 13 0 4 5 4 0 1
14 0 1 4 4 14 0 5 5 5 1 1
14 1 0 4 4 14 0 6 5 6 0 1
15 0 1 4 4 14 0 7 5 7 0 1
16 0 2 4 4 15 0 8 5 8 1 0
15 1 0 4 4 14 1 0 5 8 0 0
16 0 1 4 4 13 2 0 5 8 0 0
16 0 2 4 4 13 3 0 5 8 0 0
17 0 3 4 4 12 4 0 5 8 0 1
17 0 4 4 4 13 0 1 5 8 0 0
17 0 5 5 4 13 1 0 5 8 0 1
18 0 6 6 4 13 0 1 5 8 0 0
18 0 7 7 4 13 1 0 5 8 0 0
19 0 8 8 3 13 2 0 5 8 1 0
19 1 0 8 2 13 3 0 5 8 0 1
20 0 1 8 2 14 0 1 5 8 1 1
20 1 0 8 2 14 0 2 5 8 1 0
19 2 0 8 2 14 1 0 4 8 0 0
19 0 1 8 2 14 2 0 4 8 0 1
19 0 2 8 2 15 0 1 4 8 1 1
18 1 0 8 2 16 0 2 4 8 1 0
18 2 0 8 2 16 1 0 4 8 0 0
19 0 1 8 2 15 2 0 4 8 0 1
19 0 2 8 2 16 0 1 4 8 0 1
20 0 3 8 2 16 0 2 4 8 1 1
19 1 0 8 2 17 0 3 4 8 0 0
19 0 1 8 2 16 1 0 4 7 1 1
19 1 0 8 2 16 0 1 4 6 0 0
19 0 1 8 2 15 1 0 4 5 0 0
20 0 2 8 2 14 2 0 4 4 0 0
20 0 3 8 2 13 3 0 4 3 0 0
21 0 4 8 2 12 4 0 4 3 0 0
21 0 5 8 2 11 5 0 5 3 0 1
21 0 6 8 2 11 0 1 5 3 1 1
21 1 0 8 2 12 0 2 5 3 1 1
20 2 0 7 2 13 0 3 5 3 0 1
20 0 1 6 2 14 0 4 5 4 0 0
20 0 2 6 2 14 1 0 5 4 1 1
19 1 0 6 2 14 0 1 5 4 1 0
18 2 0 6 2 14 1 0 5 4 1 0
17 3 0 6 3 13 2 0 5 4 0 1
17 0 1 6 3 14 0 1 5 4 0 0
17 0 2 6 3 14 1 0 5 4 1 0
17 1 0 6 3 14 2 0 5 4 1 0
16 2 0 6 3 13 3 0 5 4 1 1
16 3 0 6 3 13 0 1 5 4 0 0
17 0 1 6 3 13 1 0 5 4 1 1
16 1 0 6 3 14 0 1 5 4 1 0
15 2 0 6 3 13 1 0 5 4 0 1
17 2 0 6 4 12 1 0 3 2 0 0
18 0 1 6 3 12 2 0 2 2 1 1
18 1 0 6 2 13 0 1 2 2 1 1
18 2 0 6 2 14 0 2 2 2 1 1
18 3 0 6 3 14 0 3 2 3 1 0
17 4 0 6 4 14 1 0 2 3 1 1
16 5 0 6 5 15 0 1 2 3 0 0
16 0 1 6 5 14 1 0 2 3 0 0
17 0 2 6 5 14 2 0 2 3 1 0
16 1 0 5 5 14 3 0 3 3 0 1
16 0 1 4 5 14 0 1 3 3 0 1
16 0 2 3 5 15 0 2 3 3 0 0
16 0 3 3 5 14 1 0 3 3 1 0
15 1 0 3 5 14 2 0 3 3 0 0
15 0 1 3 5 13 3 0 3 3 0 0
16 0 2 3 5 12 4 0 4 3 0 0
16 0 3 3 5 12 5 0 5 3 1 1
15 1 0 3 5 13 0 1 5 3 0 0
16 0 1 3 5 12 1 0 5 3 1 1
16 1 0 3 5 12 0 1 5 3 0 1
16 0 1 3 5 13 0 2 5 3 1 1
16 1 0 3 5 14 0 3 5 3 0 1
16 0 1 3 5 14 0 4 5 4 1 1
15 1 0 3 5 14 0 5 5 5 1 0
15 2 0 3 5 14 1 0 5 5 1 1
14 3 0 3 5 14 0 1 5 5 1 1
13 4 0 3 5 15 0 2 5 5 0 1
13 0 1 3 5 16 0 3 5 5 0 0
14 0 2 3 5 15 1 0 5 5 0 0
15 0 3 3 5 15 2 0 5 5 0 1
15 0 4 4 5 16 0 1 5 5 0 0
16 0 5 5 4 15 1 0 5 5 1 1
16 1 0 5 4 15 0 1 5 5 0 0
17 0 1 5 4 14 1 0 5 5 0 0
18 0 2 5 4 14 2 0 5 5 1 1
18 1 0 5 4 14 0 1 5 5 0 1
18 0 1 5 4 15 0 2 5 5 1 1
17 1 0 5 4 16 0 3 5 5 0 0
18 0 1 5 4 16 1 0 5 5 0 1
18 0 2 5 4 16 0 1 5 5 0 1
18 0 3 5 4 16 0 2 5 5 0 1
18 0 4 5 4 17 0 3 4 5 1 1
18 1 0 5 4 18 0 4 3 5 0 0
18 0 1 5 4 18 1 0 2 5 1 1
17 1 0 5 4 19 0 1 2 5 1 0
16 2 0 5 4 19 1 0 2 5 1 1
16 3 0 5 4 19 0 1 2 5 1 1
15 4 0 5 4 20 0 2 2 5 0 0
16 0 1 5 4 19 1 0 2 4 0 1
16 0 2 5 4 19 0 1 2 4 0 0
17 0 3 5 4 18 1 0 2 4 1 1
16 1 0 5 4 18 0 1 2 4 1 1
16 2 0 5 4 18 0 2 2 4 0 1
17 0 1 5 4 19 0 3 2 4 0 1
18 0 2 5 4 19 0 4 2 4 0 1
19 0 3 5 4 19 0 5 2 5 0 1
19 0 4 4 4 19 0 6 2 6 0 0
19 0 5 5 4 19 1 0 2 6 0 0
19 0 6 6 4 19 2 0 2 6 0 0
19 0 7 7 4 18 3 0 3 6 0 1
19 0 8 8 4 19 0 1 3 6 1 1
19 1 0 8 4 19 0 2 3 6 0 1
19 0 1 8 4 20 0 3 3 6 0 0
19 0 2 8 4 20 1 0 3 6 0 0
20 0 3 8 4 19 2 0 3 6 1 0
19 1 0 8 4 18 3 0 3 6 0 0
20 0 1 8 4 17 4 0 4 6 0 1
20 0 2 8 4 18 0 1 4 6 1 1
19 1 0 8 4 18 0 2 4 6 1 1
18 2 0 8 4 18 0 3 4 6 1 1
17 3 0 8 4 18 0 4 4 6 0 0
18 0 1 8 4 17 1 0 4 6 1 1
17 1 0 8 4 18 0 1 4 6 0 0
18 0 1 8 3 17 1 0 4 6 0 0
19 0 2 8 3 17 2 0 4 6 0 1
20 0 3 8 3 17 0 1 4 6 1 1
20 1 0 8 3 17 0 2 4 6 1 0
19 2 0 8 3 17 1 0 4 6 0 0
19 0 1 8 3 16 2 0 4 6 0 0
19 0 2 8 3 16 3 0 4 6 1 0
19 1 0 8 3 15 4 0 4 5 1 1
19 2 0 8 3 15 0 1 4 4 0 0
19 0 1 7 3 14 1 0 4 4 1 1
18 1 0 6 3 14 0 1 4 4 0 1
18 0 1 5 3 14 0 2 4 4 0 1
18 0 2 4 3 14 0 3 4 4 0 1
18 0 3 3 3 15 0 4 4 4 0 1
18 0 4 4 3 16 0 5 4 5 0 1
18 0 5 5 3 17 0 6 4 6 0 0
18 0 6 6 3 16 1 0 4 6 1 1
10 2 0 3 12 19 1 0 2 8 0 0
10 0 1 3 12 19 2 0 2 8 0 0
10 0 2 3 12 19 3 0 3 8 1 0
9 1 0 3 12 18 4 0 4 8 1 1
9 2 0 3 11 18 0 1 4 8 1 0
9 3 0 3 10 17 1 0 4 8 1 1
9 4 0 3 9 18 0 1 4 8 1 1
9 5 0 3 8 18 0 2 4 8 0 1
10 0 1 3 7 19 0 3 4 8 0 0
11 0 2 3 6 18 1 0 4 7 0 0
12 0 3 3 5 17 2 0 4 6 0 1
13 0 4 4 5 17 0 1 4 5 1 0
13 1 0 4 5 16 1 0 4 4 1 1
13 2 0 4 5 16 0 1 4 4 1 1
13 3 0 4 5 16 0 2 4 4 1 1
13 4 0 4 5 16 0 3 4 4 0 0
13 0 1 4 5 15 1 0 4 4 1 1
13 1 0 4 5 16 0 1 4 4 1 1
12 2 0 4 5 17 0 2 4 4 1 1
12 3 0 4 5 17 0 3 4 3 0 1
13 0 1 4 5 17 0 4 4 4 1 0
12 1 0 4 5 16 1 0 4 4 1 1
11 2 0 4 5 16 0 1 4 4 1 1
11 3 0 4 5 17 0 2 4 4 0 0
12 0 1 4 5 17 1 0 4 4 1 0
11 1 0 4 5 16 2 0 4 4 1 0
10 2 0 4 5 16 3 0 4 4 0 0
10 0 1 4 5 15 4 0 4 4 1 0
10 1 0 4 5 14 5 0 5 4 1 1
10 2 0 4 5 15 0 1 5 4 1 1
9 3 0 4 5 16 0 2 5 4 1 1
8 4 0 4 5 17 0 3 5 4 1 1
8 5 0 4 5 18 0 4 5 4 1 1
8 6 0 4 6 18 0 5 5 5 1 0
8 7 0 4 7 18 1 0 5 5 1 0
8 8 0 4 8 17 2 0 5 5 0 0
9 0 1 4 8 16 3 0 5 5 0 1
9 0 2 3 8 16 0 1 5 5 1 0
8 1 0 2 8 16 1 0 5 5 0 0
8 0 1 2 8 16 2 0 5 5 0 1
8 0 2 2 8 16 0 1 5 5 0 0
9 0 3 3 8 16 1 0 5 5 1 1
9 1 0 3 8 16 0 1 5 5 1 0
9 2 0 3 8 15 1 0 5 5 0 0
10 0 1 3 8 14 2 0 5 5 1 1
9 1 0 3 8 15 0 1 5 5 1 0
9 2 0 3 8 14 1 0 5 5 1 1
9 3 0 3 8 14 0 1 5 5 1 0
9 4 0 3 8 13 1 0 5 5 0 0
9 0 1 3 8 12 2 0 5 5 1 1
9 1 0 3 8 13 0 1 5 5 0 0
10 0 1 3 8 12 1 0 5 5 0 1
11 0 2 3 8 12 0 1 5 5 1 1
10 1 0 3 8 13 0 2 4 5 0 0
11 0 1 3 8 13 1 0 3 5 1 0
11 1 0 3 8 13 2 0 3 5 0 0
11 0 1 3 8 13 3 0 3 5 1 1
11 1 0 3 7 14 0 1 3 5 0 0
12 0 1 3 6 13 1 0 3 4 1 0
12 1 0 3 5 12 2 0 3 3 0 0
13 0 1 3 4 11 3 0 3 2 1 1
13 1 0 3 4 11 0 1 3 2 0 0
14 0 1 3 4 10 1 0 3 2 1 0
14 1 0 3 4 10 2 0 3 2 0 0
15 0 1 3 4 10 3 0 3 2 0 1
15 0 2 3 4 11 0 1 3 2 1 0
14 1 0 3 4 10 1 0 3 2 0 0
15 0 1 3 4 10 2 0 3 2 1 1
14 1 0 2 4 11 0 1 3 2 1 0
13 2 0 2 4 10 1 0 3 2 1 0
12 3 0 2 4 10 2 0 3 2 1 0
12 4 0 2 4 9 3 0 3 2 1 0
12 5 0 2 5 9 4 0 4 2 1 1
11 6 0 2 6 10 0 1 4 2 0 0
12 0 1 2 6 9 1 0 4 2 0 1
13 0 2 2 6 10 0 1 4 2 1 0
13 1 0 2 6 9 1 0 4 2 1 1
13 2 0 2 6 10 0 1 4 2 1 0
12 3 0 2 6 10 1 0 4 2 1 1
12 4 0 2 6 10 0 1 4 2 0 1
12 0 1 2 6 11 0 2 4 2 0 1
12 0 2 2 6 11 0 3 4 3 1 0
12 1 0 2 6 10 1 0 4 3 1 1
11 2 0 2 6 11 0 1 4 3 0 1
12 0 1 2 6 12 0 2 4 3 0 0
12 0 2 2 6 12 1 0 4 3 1 1
12 1 0 2 6 12 0 1 4 3 0 0
12 0 1 2 6 12 1 0 4 3 1 0
12 1 0 2 6 12 2 0 4 3 1 1
11 2 0 2 6 13 0 1 4 3 1 0
19 0 2 8 2 13 2 0 3 3 0 1
19 0 3 8 2 14 0 1 3 3 1 0
18 1 0 8 2 14 1 0 3 3 1 0
17 2 0 8 2 13 2 0 3 3 0 1
17 0 1 8 2 13 0 1 3 3 0 0
18 0 2 8 2 13 1 0 3 3 1 1
18 1 0 8 2 14 0 1 3 3 1 0
17 2 0 7 2 14 1 0 3 3 0 0
17 0 1 6 2 13 2 0 3 3 1 1
16 1 0 5 2 14 0 1 3 3 0 0
16 0 1 4 2 13 1 0 3 3 1 1
15 1 0 3 2 14 0 1 2 3 1 0
14 2 0 3 2 14 1 0 2 3 0 0
14 0 1 3 2 14 2 0 2 3 0 0
14 0 2 3 2 13 3 0 3 3 0 0
15 0 3 3 2 12 4 0 4 3 0 1
16 0 4 4 2 12 0 1 4 3 0 0
16 0 5 5 2 12 1 0 4 3 0 0
16 0 6 6 2 12 2 0 4 3 1 1
16 1 0 6 2 12 0 1 4 2 1 1
16 2 0 6 2 12 0 2 4 2 1 0
15 3 0 6 3 11 1 0 4 2 1 0
15 4 0 6 4 11 2 0 4 2 0 0
15 0 1 6 4 10 3 0 4 2 0 1
16 0 2 6 4 11 0 1 4 2 1 1
16 1 0 6 4 12 0 2 4 2 0 0
16 0 1 6 4 11 1 0 4 2 0 0
17 0 2 6 4 10 2 0 4 2 0 0
17 0 3 6 4 10 3 0 4 2 1 1
16 1 0 6 4 11 0 1 4 2 1 1
15 2 0 6 4 11 0 2 4 2 1 0
15 3 0 6 4 11 1 0 4 2 1 1
15 4 0 6 4 12 0 1 4 2 1 1
14 5 0 6 5 12 0 2 4 2 1 0
13 6 0 6 6 12 1 0 4 2 1 0
13 7 0 6 7 11 2 0 4 2 0 0
14 0 1 6 7 11 3 0 4 2 1 1
13 1 0 6 7 12 0 1 4 2 0 1
14 0 1 6 7 12 0 2 4 2 0 0
14 0 2 6 7 12 1 0 4 2 1 1
14 1 0 6 7 12 0 1 4 2 0 1
15 0 1 6 7 13 0 2 3 2 0 1
15 0 2 5 7 14 0 3 3 3 0 1
15 0 3 4 7 15 0 4 3 4 0 1
15 0 4 4 7 16 0 5 3 5 1 1
14 1 0 4 7 16 0 6 3 6 1 0
13 2 0 4 7 16 1 0 3 6 0 1
13 0 1 4 7 17 0 1 3 6 1 0
13 1 0 4 7 16 1 0 3 6 1 0
13 2 0 4 7 15 2 0 3 6 1 1
13 3 0 4 7 16 0 1 3 6 1 1
13 4 0 4 7 17 0 2 3 6 1 0
12 5 0 4 7 17 1 0 3 6 0 0
12 0 1 4 7 16 2 0 3 6 1 0
12 1 0 4 7 15 3 0 3 6 1 1
11 2 0 4 7 16 0 1 3 6 0 1
11 0 1 4 7 17 0 2 3 6 0 0
11 0 2 4 7 17 1 0 3 6 1 0
11 1 0 4 6 16 2 0 3 6 1 1
11 2 0 4 5 16 0 1 3 6 0 0
12 0 1 4 5 16 1 0 3 6 1 1
12 1 0 4 5 16 0 1 3 6 0 0
13 0 1 4 5 15 1 0 3 6 0 0
14 0 2 4 5 15 2 0 3 6 1 1
14 1 0 4 5 16 0 1 3 6 1 0
13 2 0 4 5 16 1 0 3 6 0 0
14 0 1 4 5 15 2 0 3 6 0 0
14 0 2 4 5 14 3 0 3 6 1 1
13 1 0 4 5 15 0 1 3 6 0 0
14 0 1 4 5 14 1 0 3 5 0 0
14 0 2 3 5 13 2 0 3 4 0 1
14 0 3 3 5 13 0 1 3 3 1 1
13 1 0 3 5 13 0 2 3 2 1 1
12 2 0 3 5 13 0 3 3 3 0 0
13 0 1 3 5 12 1 0 3 3 0 1
14 0 2 3 5 13 0 1 3 3 0 0
14 0 3 3 5 12 1 0 3 3 0 0
15 0 4 4 4 12 2 0 3 3 1 0
15 1 0 4 3 12 3 0 3 3 0 1
16 0 1 4 2 12 0 1 3 3 0 0
17 0 2 4 2 11 1 0 3 3 0 0
18 0 3 4 2 11 2 0 3 3 0 0
18 0 4 4 2 11 3 0 3 3 0 0
19 0 5 5 2 11 4 0 4 3 0 1
20 0 6 6 2 11 0 1 4 3 1 0
19 1 0 6 2 10 1 0 4 3 0 0
19 0 1 6 2 10 2 0 4 3 0 1
20 0 2 6 2 11 0 1 4 3 1 0
20 1 0 6 2 10 1 0 4 3 1 1
19 2 0 6 2 11 0 1 4 3 1 1
20 0 2 6 2 8 2 0 9 3 1 0
20 1 0 6 2 8 3 0 9 3 0 0
20 0 1 6 2 7 4 0 9 3 0 0
21 0 2 6 2 6 5 0 9 3 1 0
20 1 0 6 2 6 6 0 8 3 1 1
20 2 0 6 2 7 0 1 7 3 0 0
20 0 1 6 2 7 1 0 6 3 0 0
20 0 2 6 2 7 2 0 6 3 1 0
19 1 0 6 2 7 3 0 6 3 1 1
18 2 0 6 2 8 0 1 6 3 0 1
18 0 1 6 2 9 0 2 6 3 1 0
17 1 0 6 2 9 1 0 6 3 1 0
17 2 0 6 2 9 2 0 6 3 0 0
18 0 1 6 2 8 3 0 6 2 0 0
18 0 2 5 2 7 4 0 6 2 1 0
17 1 0 4 2 6 5 0 6 2 1 1
16 2 0 3 2 7 0 1 6 2 0 1
16 0 1 2 2 8 0 2 6 2 0 0
16 0 2 2 2 8 1 0 6 2 1 0
15 1 0 2 2 7 2 0 6 2 0 0
16 0 1 2 2 7 3 0 6 2 1 0
15 1 0 2 2 7 4 0 6 2 1 0
15 2 0 2 2 6 5 0 6 2 0 0
15 0 1 2 2 6 6 0 6 2 0 0
15 0 2 2 2 6 7 0 7 2 0 0
16 0 3 3 2 6 8 0 8 2 1 1
15 1 0 3 2 7 0 1 8 2 0 1
16 0 1 3 2 7 0 2 8 2 0 0
16 0 2 3 2 7 1 0 8 2 1 0
15 1 0 3 2 7 2 0 8 2 1 1
15 2 0 3 2 8 0 1 8 2 0 0
15 0 1 3 2 8 1 0 8 2 1 1
14 1 0 3 2 9 0 1 8 2 0 1
15 0 1 3 2 10 0 2 8 2 1 0
15 1 0 3 2 9 1 0 8 2 1 0
14 2 0 3 2 9 2 0 8 2 0 0
14 0 1 3 2 9 3 0 8 2 0 1
15 0 2 3 2 10 0 1 8 2 0 0
16 0 3 3 2 9 1 0 8 2 0 1
16 0 4 4 2 9 0 1 8 2 1 0
16 1 0 4 2 9 1 0 8 2 0 1
17 0 1 4 2 10 0 1 8 2 1 1
16 1 0 4 2 11 0 2 8 2 1 0
15 2 0 4 2 11 1 0 8 2 1 0
15 3 0 4 3 11 2 0 8 2 1 1
15 4 0 4 4 11 0 1 8 2 0 1
15 0 1 4 4 11 0 2 8 2 1 0
14 1 0 4 4 11 1 0 7 2 1 1
14 2 0 4 4 12 0 1 6 2 0 1
14 0 1 4 4 13 0 2 5 2 1 1
14 1 0 4 4 14 0 3 4 3 1 0
14 2 0 4 4 14 1 0 3 3 1 1
13 3 0 4 4 15 0 1 3 3 1 0
12 4 0 4 4 15 1 0 3 3 0 0
12 0 1 4 4 15 2 0 3 3 0 0
13 0 2 4 4 14 3 0 3 3 1 0
12 1 0 4 4 13 4 0 4 3 0 0
12 0 1 4 4 13 5 0 5 3 1 0
12 1 0 4 4 13 6 0 6 3 1 0
12 2 0 4 4 12 7 0 7 3 1 0
11 3 0 4 4 12 8 0 8 3 0 1
12 0 1 4 4 12 0 1 8 3 0 0
12 0 2 4 4 11 1 0 8 3 1 1
12 1 0 4 4 12 0 1 8 3 1 0
12 2 0 4 4 12 1 0 8 3 0 1
12 0 1 3 4 13 0 1 8 3 1 0
11 1 0 2 4 12 1 0 8 3 0 0
11 0 1 2 4 12 2 0 8 3 0 0
11 0 2 2 4 11 3 0 8 3 0 0
12 0 3 3 4 11 4 0 8 3 1 0
11 1 0 3 4 10 5 0 8 3 1 0
11 2 0 3 4 9 6 0 8 3 0 0
12 0 1 3 4 9 7 0 8 3 1 1
12 1 0 3 4 10 0 1 8 3 1 0
12 2 0 3 4 9 1 0 8 3 1 1
11 3 0 3 4 9 0 1 8 3 1 0
11 4 0 3 4 9 1 0 8 3 1 0
11 5 0 3 5 8 2 0 8 2 1 1
10 6 0 3 6 8 0 1 8 0 1 1
10 7 0 3 7 8 0 2 8 2 0 1
11 0 1 3 7 9 0 3 8 3 1 1
11 1 0 3 7 9 0 4 8 4 1 1
11 2 0 3 7 10 0 5 7 5 1 0
10 3 0 3 7 10 1 0 7 5 0 1
10 0 1 3 7 11 0 1 7 5 0 1
11 0 2 3 7 12 0 2 7 5 0 1
11 0 3 3 7 13 0 3 7 5 1 1
11 1 0 3 7 14 0 4 7 5 1 0
11 2 0 3 7 14 1 0 7 5 1 1
11 3 0 3 7 15 0 1 7 5 1 0
11 0 1 2 3 15 1 0 3 2 1 1
11 1 0 2 3 15 0 1 3 2 0 0
12 0 1 2 3 14 1 0 3 2 1 0
11 1 0 2 3 14 2 0 3 2 1 0
11 2 0 2 3 13 3 0 3 2 0 0
12 0 1 2 3 12 4 0 4 2 0 1
13 0 2 2 3 13 0 1 4 2 0 0
13 0 3 3 3 13 1 0 4 2 0 1
13 0 4 4 3 13 0 1 4 2 1 0
13 1 0 4 3 12 1 0 4 2 0 0
14 0 1 4 3 12 2 0 4 2 1 0
13 1 0 4 3 12 3 0 4 2 1 0
13 2 0 4 3 12 4 0 4 2 1 1
12 3 0 4 3 12 0 1 4 2 1 0
12 4 0 4 4 12 1 0 4 2 0 0
13 0 1 4 4 12 2 0 4 2 1 0
13 1 0 4 4 11 3 0 4 2 0 0
13 0 1 4 4 11 4 0 4 2 1 1
13 1 0 4 4 11 0 1 4 2 0 0
14 0 1 4 4 10 1 0 4 2 1 0
13 1 0 4 4 10 2 0 4 2 1 1
13 2 0 4 4 10 0 1 4 2 0 0
13 0 1 4 4 10 1 0 4 2 1 0
13 1 0 4 4 9 2 0 4 2 0 1
14 0 1 4 4 9 0 1 4 2 0 0
14 0 2 4 4 9 1 0 4 2 1 0
14 1 0 4 4 9 2 0 4 2 1 0
13 2 0 4 4 8 3 0 4 0 0 0
14 0 1 4 4 7 4 0 4 0 0 0
14 0 2 4 4 7 5 0 5 0 0 0
15 0 3 4 4 6 6 0 6 0 0 0
15 0 4 4 4 6 7 0 7 0 1 0
15 1 0 4 4 6 8 0 8 0 1 0
15 2 0 4 4 6 9 0 9 0 1 1
14 3 0 4 4 7 0 1 9 0 0 1
14 0 1 4 4 7 0 2 9 2 1 1
13 1 0 4 4 8 0 3 9 3 1 0
12 2 0 4 4 7 1 0 9 3 0 0
13 0 1 4 4 7 2 0 9 3 0 0
13 0 2 4 4 7 3 0 9 3 1 1
13 1 0 4 3 8 0 1 9 3 0 0
14 0 1 4 3 8 1 0 9 3 1 1
14 1 0 4 3 8 0 1 9 3 0 0
15 0 1 4 3 8 1 0 9 3 0 0
15 0 2 4 3 8 2 0 9 3 1 1
15 1 0 4 3 9 0 1 9 3 0 1
15 0 1 4 3 10 0 2 9 3 1 1
15 1 0 4 3 10 0 3 9 3 1 1
14 2 0 4 3 11 0 4 9 4 1 0
14 3 0 4 3 11 1 0 9 4 0 0
15 0 1 4 3 10 2 0 9 4 1 0
14 1 0 4 3 10 3 0 9 4 1 0
14 2 0 4 3 10 4 0 9 4 1 0
13 3 0 4 3 9 5 0 9 4 0 1
13 0 1 4 3 10 0 1 8 4 0 0
14 0 2 4 3 10 1 0 7 4 0 1
15 0 3 4 3 11 0 1 6 4 1 0
14 1 0 3 3 11 1 0 5 4 1 1
13 2 0 3 3 12 0 1 5 4 0 0
13 0 1 3 3 12 1 0 5 4 1 0
12 1 0 3 3 12 2 0 5 4 1 1
12 2 0 3 3 13 0 1 5 4 0 1
13 0 1 3 3 14 0 2 5 4 1 1
13 1 0 3 3 14 0 3 5 4 0 0
13 0 1 3 3 13 1 0 5 4 0 1
14 0 2 3 3 13 0 1 5 4 1 1
14 1 0 3 3 14 0 2 5 4 1 0
13 2 0 3 3 14 1 0 5 4 1 0
12 3 0 3 3 14 2 0 5 4 0 0
13 0 1 3 3 13 3 0 5 4 0 0
13 0 2 3 3 13 4 0 5 4 1 0
13 1 0 3 3 12 5 0 5 4 0 1
13 0 1 3 3 13 0 1 5 4 0 0
13 0 2 3 3 13 1 0 5 4 1 1
13 1 0 3 3 13 0 1 5 3 1 1
12 2 0 3 3 13 0 2 5 3 0 0
13 0 1 3 3 12 1 0 5 3 0 0
14 0 2 3 3 11 2 0 5 3 0 0
15 0 3 3 3 11 3 0 5 3 0 0
15 0 4 4 3 11 4 0 5 3 1 1
15 1 0 4 3 12 0 1 5 3 0 0
16 0 1 4 3 12 1 0 5 3 1 1
16 1 0 4 3 13 0 1 5 3 0 0
16 0 1 4 3 12 1 0 5 3 0 0
16 0 2 4 3 12 2 0 5 3 1 1
15 1 0 4 3 12 0 1 5 3 1 1
15 2 0 4 3 13 0 2 5 3 0 0
16 0 1 4 3 12 1 0 5 3 0 1
16 0 2 4 3 13 0 1 5 3 0 1
17 0 3 4 3 14 0 2 5 3 0 0
11 1 0 4 5 14 4 0 4 4 0 0
12 0 1 4 5 13 5 0 5 4 0 1
12 0 2 3 5 14 0 1 5 4 0 0
12 0 3 3 5 14 1 0 5 4 0 0
12 0 4 4 5 14 2 0 5 4 1 1
11 1 0 4 5 15 0 1 5 4 1 1
11 2 0 4 5 15 0 2 5 4 0 1
12 0 1 4 5 16 0 3 5 4 0 0
13 0 2 4 5 15 1 0 5 4 0 0
14 0 3 4 5 14 2 0 5 4 0 0
14 0 4 4 5 14 3 0 5 4 1 1
14 1 0 4 5 14 0 1 5 3 1 1
14 2 0 4 5 14 0 2 5 3 0 1
14 0 1 4 5 14 0 3 5 3 0 0
15 0 2 4 5 13 1 0 5 3 1 0
15 1 0 4 5 13 2 0 5 3 0 1
15 0 1 4 5 13 0 1 5 3 0 0
16 0 2 4 5 12 1 0 5 3 1 1
16 1 0 4 5 13 0 1 5 3 1 1
16 2 0 4 5 13 0 2 5 3 0 0
16 0 1 4 5 13 1 0 5 3 1 0
15 1 0 4 5 12 2 0 5 3 1 0
15 2 0 4 4 12 3 0 5 3 1 1
15 3 0 4 3 12 0 1 5 3 0 0
16 0 1 4 3 12 1 0 5 3 1 1
16 1 0 4 3 12 0 1 5 3 0 1
17 0 1 4 3 13 0 2 4 3 0 0
17 0 2 4 3 13 1 0 3 3 1 0
16 1 0 4 3 13 2 0 3 3 1 1
16 2 0 4 3 14 0 1 3 3 1 1
15 3 0 4 3 15 0 2 3 3 0 1
15 0 1 4 3 15 0 3 3 3 0 0
15 0 2 4 3 15 1 0 3 3 0 0
15 0 3 4 3 15 2 0 3 3 1 0
15 1 0 4 3 14 3 0 3 3 0 0
16 0 1 4 3 13 4 0 4 3 1 1
15 1 0 3 3 13 0 1 4 3 1 1
14 2 0 3 3 14 0 2 4 3 1 1
13 3 0 3 3 15 0 3 4 3 1 1
12 4 0 3 4 16 0 4 4 4 0 0
13 0 1 3 4 15 1 0 4 4 0 1
14 0 2 3 4 15 0 1 4 4 0 0
14 0 3 3 4 14 1 0 4 4 0 0
14 0 4 4 4 14 2 0 4 4 0 0
15 0 5 5 4 14 3 0 4 4 0 0
15 0 6 6 4 13 4 0 4 4 0 0
15 0 7 7 4 13 5 0 5 4 0 0
16 0 8 8 4 12 6 0 6 4 0 0
17 0 9 9 4 11 7 0 7 4 1 1
16 1 0 9 4 12 0 1 7 4 0 0
17 0 1 9 4 12 1 0 7 4 1 1
17 1 0 9 4 13 0 1 7 4 0 0
18 0 1 9 4 12 1 0 7 4 1 0
17 1 0 9 4 12 2 0 7 4 0 0
18 0 1 9 4 11 3 0 7 4 0 0
18 0 2 9 4 10 4 0 7 4 0 1
18 0 3 9 4 11 0 1 7 4 0 0
19 0 4 9 4 11 1 0 7 4 1 0
19 1 0 9 4 10 2 0 7 4 1 1
19 2 0 9 4 10 0 1 7 4 1 1
18 3 0 9 4 10 0 2 7 4 1 1
17 4 0 9 4 11 0 3 7 4 1 0
16 5 0 9 5 11 1 0 7 4 1 0
16 6 0 9 6 11 2 0 7 4 1 1
15 7 0 9 7 12 0 1 7 4 0 0
16 0 1 9 7 11 1 0 7 3 1 1
16 1 0 9 7 11 0 1 7 3 1 0
16 2 0 9 7 10 1 0 7 3 0 0
17 0 1 9 7 9 2 0 7 3 1 1
16 1 0 8 7 10 0 1 7 3 1 1
15 2 0 7 7 10 0 2 7 3 1 1
14 3 0 6 7 11 0 3 6 3 1 1
13 4 0 5 7 12 0 4 5 4 0 0
13 0 1 4 7 12 1 0 4 4 0 0
13 0 2 4 7 12 2 0 4 4 1 1
12 1 0 4 7 13 0 1 4 4 0 1
12 0 1 4 7 14 0 2 4 4 1 1
11 1 0 4 7 15 0 3 4 4 0 0
12 0 1 4 7 14 1 0 4 4 0 1
12 0 2 4 7 15 0 1 4 4 0 0
13 0 3 4 7 14 1 0 4 4 0 0
